secret,one_qubit_error,two_qubit_error,shots,baseline_success_rate,pass_shots,error_report_shots,pass_rate,error_report_rate,filtered_success_rate,unfiltered_asserted_success_rate
101,0.0,0.0,4096,1.0,4096,0,1.0,0.0,1.0,1.0
101,0.001,0.01,4096,0.988037109375,3998,98,0.97607421875,0.02392578125,0.9937468734367184,0.975830078125
101,0.003,0.03,4096,0.9638671875,3870,226,0.94482421875,0.05517578125,0.9850129198966409,0.9443359375
101,0.005,0.05,4096,0.939453125,3703,393,0.904052734375,0.095947265625,0.976235484742101,0.90673828125
101,0.01,0.1,4096,0.888427734375,3319,777,0.810302734375,0.189697265625,0.9400421813799337,0.809326171875
101,0.02,0.2,4096,0.791259765625,2822,1274,0.68896484375,0.31103515625,0.8571934798015591,0.678466796875
101,0.03,0.3,4096,0.724609375,2498,1598,0.60986328125,0.39013671875,0.7826261008807046,0.599853515625
