Strategy,Checkpoint,Oracle Method,Coverage,Oracle Gates,CX Overhead,TP,TN,FP,FN,Detection Rate,Support-Level FPR,Post-selected Support-Valid Rate
max_sparsity,after_walk_step_4,simplified_boolean,0.875,58,27,0,100,0,0,0.0,0.0,1.0
min_oracle_cost,after_walk_step_2,simplified_boolean,0.5,1,1,0,100,0,0,0.0,0.0,1.0
balanced_proxy,after_walk_step_4,simplified_boolean,0.875,58,27,0,100,0,0,0.0,0.0,1.0
cost_benefit,after_walk_step_2,simplified_boolean,0.5,1,1,0,100,0,0,0.0,0.0,1.0
early_checkpoint,after_walk_step_1,simplified_boolean,0.75,29,12,0,100,0,0,0.0,0.0,1.0
late_checkpoint,after_walk_step_5,simplified_boolean,0.75,30,13,0,100,0,0,0.0,0.0,1.0
