Strategy,Checkpoint,Oracle Method,Coverage,Oracle Gates,CX Overhead,TP,TN,FP,FN,Detection Rate,Support-Level FPR,Post-selected Support-Valid Rate
max_sparsity,after_walk_step_4,simplified_boolean,0.875,58,27,246,573,100,81,0.7522935779816514,0.1485884101040119,0.8761467889908257
min_oracle_cost,after_walk_step_2,simplified_boolean,0.5,1,1,66,681,9,244,0.2129032258064516,0.013043478260869565,0.7362162162162162
balanced_proxy,after_walk_step_4,simplified_boolean,0.875,58,27,246,573,100,81,0.7522935779816514,0.1485884101040119,0.8761467889908257
cost_benefit,after_walk_step_2,simplified_boolean,0.5,1,1,66,681,9,244,0.2129032258064516,0.013043478260869565,0.7362162162162162
early_checkpoint,after_walk_step_1,simplified_boolean,0.75,29,12,66,649,22,263,0.2006079027355623,0.03278688524590164,0.7116228070175439
late_checkpoint,after_walk_step_5,simplified_boolean,0.75,30,13,304,640,31,25,0.9240121580547113,0.046199701937406856,0.9624060150375939
