position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
3,4,16,12,6,60,after_walk_step_6,0.5,8,0.1666666666666656,0.2499999999999984,0.0,8
3,4,16,12,7,70,after_walk_step_7,0.6875,11,0.3958333333333302,0.5937499999999953,1.3571170294521366e-31,5
3,4,16,12,8,80,after_walk_step_8,0.5,8,0.16666666666666516,0.24999999999999775,0.0,8
3,4,16,12,9,90,after_walk_step_9,0.6875,11,0.39583333333332943,0.5937499999999941,6.145834695816145e-32,5
3,4,16,12,10,100,after_walk_step_10,0.75,12,0.4999999999999944,0.7499999999999916,6.913072195200371e-31,4
3,4,16,12,11,110,after_walk_step_11,0.5,8,0.1666666666666646,0.2499999999999969,0.0,8
3,4,16,12,12,120,after_walk_step_12,0.75,12,0.3333333333333289,0.49999999999999334,2.228978106150417e-32,4
4,5,32,2,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,2,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,4,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,4,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,4,3,36,after_walk_step_3,0.84375,27,0.4999999999999811,0.7499999999999717,1.5841552697283766e-30,5
4,5,32,4,4,48,after_walk_step_4,0.75,24,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,8
4,5,32,6,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,6,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,6,3,36,after_walk_step_3,0.84375,27,0.4999999999999811,0.7499999999999717,1.5841552697283766e-30,5
4,5,32,6,4,48,after_walk_step_4,0.75,24,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,8
