position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cost,benefit_cost_score,runtime_seconds,status,error_message,strategy
5,6,64,10,1,14,after_walk_step_1,0.1,simplified_boolean,64,62,0.96875,0.96875,0.9466071428571429,921.0,1094.0,408.0,4676.0,2150.0,5703.0,-434.0,-530.0,-1057.0,0.05394477317554241,17.958180987202926,0.06126795900000026,ok,,early_checkpoint
5,6,64,10,10,140,after_walk_step_10,1.0,simplified_boolean,64,46,0.71875,0.71875,0.7023214285714285,815.0,963.0,405.0,4556.0,2145.0,5564.0,-554.0,-535.0,-1196.0,0.04748520710059171,15.136292834890968,0.04234908399999959,ok,,late_checkpoint
5,6,64,12,1,14,after_walk_step_1,0.08333333333333333,simplified_boolean,64,62,0.96875,0.96875,0.950297619047619,921.0,1094.0,408.0,5436.0,2502.0,6641.0,-696.0,-714.0,-1471.0,0.04495397764628534,21.549817184643512,0.05220983300000093,ok,,max_sparsity
5,6,64,12,8,112,after_walk_step_8,0.6666666666666666,simplified_boolean,64,48,0.75,0.75,0.7357142857142858,353.0,434.0,169.0,4858.0,2257.0,5967.0,-1274.0,-959.0,-2145.0,0.017833662064431297,42.055299539170505,0.06055320799999997,ok,,min_oracle_cost
5,6,64,12,1,14,after_walk_step_1,0.08333333333333333,simplified_boolean,64,62,0.96875,0.96875,0.950297619047619,921.0,1094.0,408.0,5436.0,2502.0,6641.0,-696.0,-714.0,-1471.0,0.04495397764628534,21.549817184643512,0.05220983300000093,ok,,balanced_proxy
5,6,64,12,8,112,after_walk_step_8,0.6666666666666666,simplified_boolean,64,48,0.75,0.75,0.7357142857142858,353.0,434.0,169.0,4858.0,2257.0,5967.0,-1274.0,-959.0,-2145.0,0.017833662064431297,42.055299539170505,0.06055320799999997,ok,,cost_benefit
5,6,64,12,1,14,after_walk_step_1,0.08333333333333333,simplified_boolean,64,62,0.96875,0.96875,0.950297619047619,921.0,1094.0,408.0,5436.0,2502.0,6641.0,-696.0,-714.0,-1471.0,0.04495397764628534,21.549817184643512,0.05220983300000093,ok,,early_checkpoint
5,6,64,12,12,168,after_walk_step_12,1.0,simplified_boolean,64,40,0.625,0.625,0.6130952380952381,583.0,701.0,280.0,5062.0,2358.0,6220.0,-1070.0,-858.0,-1892.0,0.028805062458908612,21.697574893009985,0.04417679099999994,ok,,late_checkpoint
6,7,128,2,1,16,after_walk_step_1,0.5,simplified_boolean,128,126,0.984375,0.984375,0.7875,2131.0,2810.0,998.0,3398.0,1592.0,4414.0,1858.0,744.0,2318.0,1.1415002840071253,0.8623519536451166,0.05778683399999984,ok,,max_sparsity
6,7,128,2,1,16,after_walk_step_1,0.5,simplified_boolean,128,126,0.984375,0.984375,0.7875,2131.0,2810.0,998.0,3398.0,1592.0,4414.0,1858.0,744.0,2318.0,1.1415002840071253,0.8623519536451166,0.05778683399999984,ok,,min_oracle_cost
6,7,128,2,1,16,after_walk_step_1,0.5,simplified_boolean,128,126,0.984375,0.984375,0.7875,2131.0,2810.0,998.0,3398.0,1592.0,4414.0,1858.0,744.0,2318.0,1.1415002840071253,0.8623519536451166,0.05778683399999984,ok,,balanced_proxy
6,7,128,2,1,16,after_walk_step_1,0.5,simplified_boolean,128,126,0.984375,0.984375,0.7875,2131.0,2810.0,998.0,3398.0,1592.0,4414.0,1858.0,744.0,2318.0,1.1415002840071253,0.8623519536451166,0.05778683399999984,ok,,cost_benefit
6,7,128,2,1,16,after_walk_step_1,0.5,simplified_boolean,128,126,0.984375,0.984375,0.7875,2131.0,2810.0,998.0,3398.0,1592.0,4414.0,1858.0,744.0,2318.0,1.1415002840071253,0.8623519536451166,0.05778683399999984,ok,,early_checkpoint
6,7,128,2,2,32,after_walk_step_2,1.0,simplified_boolean,128,124,0.96875,0.96875,0.775,3790.0,4855.0,1874.0,4997.0,2460.0,6414.0,3457.0,1612.0,4318.0,2.154021794974913,0.44974011045755574,0.07487358400000055,ok,,late_checkpoint
6,7,128,4,1,16,after_walk_step_1,0.25,simplified_boolean,128,126,0.984375,0.984375,0.8859375,2131.0,2810.0,998.0,4602.0,2160.0,6010.0,1522.0,464.0,1818.0,0.47935505909904585,2.0535404421310286,0.06826849999999851,ok,,max_sparsity
6,7,128,4,1,16,after_walk_step_1,0.25,simplified_boolean,128,126,0.984375,0.984375,0.8859375,2131.0,2810.0,998.0,4602.0,2160.0,6010.0,1522.0,464.0,1818.0,0.47935505909904585,2.0535404421310286,0.06826849999999851,ok,,min_oracle_cost
6,7,128,4,1,16,after_walk_step_1,0.25,simplified_boolean,128,126,0.984375,0.984375,0.8859375,2131.0,2810.0,998.0,4602.0,2160.0,6010.0,1522.0,464.0,1818.0,0.47935505909904585,2.0535404421310286,0.06826849999999851,ok,,balanced_proxy
6,7,128,4,1,16,after_walk_step_1,0.25,simplified_boolean,128,126,0.984375,0.984375,0.8859375,2131.0,2810.0,998.0,4602.0,2160.0,6010.0,1522.0,464.0,1818.0,0.47935505909904585,2.0535404421310286,0.06826849999999851,ok,,cost_benefit
6,7,128,4,1,16,after_walk_step_1,0.25,simplified_boolean,128,126,0.984375,0.984375,0.8859375,2131.0,2810.0,998.0,4602.0,2160.0,6010.0,1522.0,464.0,1818.0,0.47935505909904585,2.0535404421310286,0.06826849999999851,ok,,early_checkpoint
6,7,128,4,4,64,after_walk_step_4,1.0,simplified_boolean,128,120,0.9375,0.9375,0.84375,2302.0,2945.0,1131.0,4676.0,2265.0,6067.0,1596.0,569.0,1875.0,0.5187352423849616,1.8072803299226514,0.06998004199999919,ok,,late_checkpoint
6,7,128,6,1,16,after_walk_step_1,0.16666666666666666,simplified_boolean,128,126,0.984375,0.984375,0.91875,2131.0,2810.0,998.0,5806.0,2728.0,7606.0,1186.0,184.0,1318.0,0.258639984129686,3.8059660547551672,0.09635291700000082,ok,,max_sparsity
6,7,128,6,5,80,after_walk_step_5,0.8333333333333334,simplified_boolean,128,120,0.9375,0.9375,0.875,1662.0,2121.0,800.0,5197.0,2474.0,6763.0,577.0,-70.0,475.0,0.15406697839903946,6.085015814172967,0.06291433299999838,ok,,min_oracle_cost
