position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message
2,3,8,10,2,16,after_walk_step_2,0.2,simplified_boolean,8,4,0.5,0.5,0.4975,0.22222222222222213,0.3333333333333332,0.0,9,230,120,310,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.008333333333333333,0.00530232195730092,94.29831006612783,41.91036002939013,0.009073791996343061,ok,
2,3,8,10,3,24,after_walk_step_3,0.3,minterm,8,6,0.75,0.75,0.74625,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,230,120,310,163.0,188.0,84.0,393.0,204.0,498.0,163.0,84.0,188.0,0.7,0.6717157550257129,1.1165437082405345,0.6616555308092054,0.01346324999758508,ok,
2,3,8,10,3,24,after_walk_step_3,0.3,simplified_boolean,8,6,0.75,0.75,0.74625,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,230,120,310,12.0,16.0,6.0,242.0,126.0,326.0,12.0,6.0,16.0,0.05,0.051262272089761564,14.630642954856363,8.670010639914878,0.010109499999089167,ok,
2,3,8,10,4,32,after_walk_step_4,0.4,minterm,8,7,0.875,0.875,0.870625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,230,120,310,189.0,217.0,98.0,419.0,218.0,527.0,189.0,98.0,217.0,0.8166666666666667,0.7794685990338165,1.1225596529284163,0.8552835450883168,0.013535749996663071,ok,
2,3,8,10,4,32,after_walk_step_4,0.4,simplified_boolean,8,7,0.875,0.875,0.870625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,230,120,310,50.0,58.0,27.0,280.0,147.0,368.0,50.0,27.0,58.0,0.225,0.20982935951379147,4.170055143987078,3.1771848716092004,0.01110345900815446,ok,
2,3,8,10,5,40,after_walk_step_5,0.5,minterm,8,6,0.75,0.75,0.74625,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,230,120,310,162.0,188.0,84.0,392.0,204.0,498.0,162.0,84.0,188.0,0.7,0.6702664796633941,1.1189579409918393,0.9946292808816342,0.013283082997077145,ok,
2,3,8,10,5,40,after_walk_step_5,0.5,simplified_boolean,8,6,0.75,0.75,0.74625,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,230,120,310,21.0,30.0,13.0,251.0,133.0,340.0,21.0,13.0,30.0,0.10833333333333334,0.0988039582359358,7.590789006742637,6.74736800599345,0.01032995899731759,ok,
2,3,8,10,6,48,after_walk_step_6,0.6,minterm,8,4,0.5,0.5,0.4975,0.22222222222222202,0.33333333333333304,0.0,9,230,120,310,109.0,124.0,56.0,339.0,176.0,434.0,109.0,56.0,124.0,0.4666666666666667,0.44685990338164255,1.1189189189189188,0.49729729729729677,0.011844124994240701,ok,
2,3,8,10,6,48,after_walk_step_6,0.6,simplified_boolean,8,4,0.5,0.5,0.4975,0.22222222222222202,0.33333333333333304,0.0,9,230,120,310,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.008333333333333333,0.00530232195730092,94.29831006612783,41.910360029390105,0.009086792008019984,ok,
2,3,8,10,7,56,after_walk_step_7,0.7,minterm,8,6,0.75,0.75,0.74625,0.444444444444444,0.666666666666666,9.744706808328948e-34,9,230,120,310,163.0,186.0,84.0,393.0,204.0,496.0,163.0,84.0,186.0,0.7,0.6695652173913044,1.12012987012987,0.663780663780663,0.013379916999838315,ok,
